title,price,price_numeric,location,property_url
"Kindaruma Homes Apartments 1,2 & 3 Bedrooms In Kilimani, Nairobi","Ksh4,800,000",4800000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/kindaruma-homes-apartments-12-3-bedrooms-in-kilimani-nairobi/
"Unfurnished Apartments to Let in Kilimani – Riara Road, Nairobi","Ksh80,000",80000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/unfurnished-apartments-to-let-in-kilimani-riara-road-nairobi/
The Oxford Homes | 2-Bedroom Apartments,"Ksh10,500,000",10500000.0,"Westlands, Nairobi",https://realtors.co.ke/property/the-oxford-homes-2-bedroom-apartments/
Modern 1 & 2-Bedroom Apartments for Sale in Westlands,"Ksh12,500,000",12500000.0,"Westlands, Nairobi",https://realtors.co.ke/property/affordable-1-bedroom-90-sqm-apartment-in-westlands/
Cozy Mini Two-Bedroom Apartment in Westlands,"Ksh10,950,000",10950000.0,Westlands,https://realtors.co.ke/property/cozy-mini-two-bedroom-apartment-in-westlands/
3 Bedroom Apartment for Sale in Kileleshwa (180 sqm) – With Study Room,"Ksh19,000,000",19000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/3-bedroom-apartment-for-sale-in-kileleshwa-180-sqm-with-study-room/
Modern 2-Bedroom Apartments for Sale in Syokimau at Kivulini Road,"Ksh8,600,000",8600000.0,"Syokimau, Nairobi",https://realtors.co.ke/property/modern-2-bedroom-apartments-for-sale-in-syokimau-at-kivulini-road/
Apartments for Sale in Kilimani,"Ksh14,000,000",14000000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/zanzi-court-luxurious-23-4-bedroom-apartment-for-sale/
Elegant 2 & 3 Bedroom Apartments for Sale,"Ksh20,500,000",20500000.0,"Riverside, Westlands",https://realtors.co.ke/property/elegant-2-3-bedroom-apartments-for-sale-in-riversidewestlands/
Stylish 1 Bedroom Apartment in Syokimau,"Ksh5,700,000",5700000.0,Syokimau,https://realtors.co.ke/property/stylish-1-bedroom-apartment-in-syokimau/
